canonical_id,canonical_name,canonical_family,aliases,family_aliases,entity_type,resolution_level,external_ids,herbicide_target_family,notes,identity_registry_version,identity_resolution_policy,external_identifier_backed
EC:2.5.1.19,EPSP synthase,EPSPS,5-enolpyruvylshikimate-3-phosphate synthase;5 enolpyruvylshikimate 3 phosphate synthase;EPSP synthase;EPSPS,EPSPS,enzyme,exact_enzyme,EC:2.5.1.19,EPSPS,,2026.07.17-v1,exact identifier or exact curated alias; no broad substring matching,True
EC:2.2.1.6,acetolactate synthase,ALS/AHAS,acetolactate synthase;acetohydroxyacid synthase;ALS;AHAS;ALS/AHAS,ALS;AHAS;ALS/AHAS,enzyme,exact_enzyme,EC:2.2.1.6,ALS/AHAS,,2026.07.17-v1,exact identifier or exact curated alias; no broad substring matching,True
EC:6.4.1.2,acetyl-CoA carboxylase,ACCase,acetyl-CoA carboxylase;acetyl coa carboxylase;ACCase,ACCase,enzyme,exact_enzyme,EC:6.4.1.2,ACCase,,2026.07.17-v1,exact identifier or exact curated alias; no broad substring matching,True
EC:1.3.3.4,protoporphyrinogen oxidase,PPO,protoporphyrinogen oxidase;PPO;Protox,PPO;Protox,enzyme,exact_enzyme,EC:1.3.3.4,PPO,,2026.07.17-v1,exact identifier or exact curated alias; no broad substring matching,True
PESI:PSII_TARGET,photosystem II electron-transport target,PSII,photosystem II;PSII;photosystem ii electron transport,PSII,non_enzyme_target,exact_target,,PSII,,2026.07.17-v1,exact identifier or exact curated alias; no broad substring matching,False
PESI:HCT,shikimate O-hydroxycinnamoyltransferase,BAHD acyltransferase,shikimate O-hydroxycinnamoyltransferase;hydroxycinnamoyl-coenzyme A:shikimate/quinate hydroxycinnamoyl transferase;hydroxycinnamoyl-coa:shikimate/quinate hydroxycinnamoyl transferase;hydroxycinnamoyl-coa:shikimate hydroxycinnamoyl transferase 1;hydroxycinnamate-CoA shikimate transferase;HCT,BAHD acyltransferase;plant acyltransferase family,enzyme,exact_enzyme,,,Canonicalizes HCT naming variants without equating HCT with EPSPS.,2026.07.17-v1,exact identifier or exact curated alias; no broad substring matching,False
PESI:CSE,caffeoyl shikimate esterase,caffeoyl shikimate esterase,caffeoyl shikimate esterase;caffeoylshikimate esterase;CSE,caffeoyl shikimate esterase;esterase;hydrolase,enzyme,exact_enzyme,UniProtKB:Q9C942,,Hydrolytic esterase identity; not a BAHD acyltransferase.,2026.07.17-v1,exact identifier or exact curated alias; no broad substring matching,True
PESI:GH3_ACYL_ACID_AMIDO_SYNTHETASE,GH3 acyl acid amido synthetase,GH3 acyl acid amido synthetase,GH3 acyl adenylase-family enzyme;GH3 acyl adenylase family enzyme;GH3 acyl acid amido synthetase,GH3 acyl acid amido synthetase;GH3,enzyme,exact_enzyme,,,Plant GH3 acyl-activating synthetases are distinct from BAHD acyltransferases and CAZy GH3.,2026.07.17-v1,exact identifier or exact curated alias; no broad substring matching,False
PESI:GH3_ISOCHORISMOYL_GLUTAMATE_SYNTHASE,isochorismoyl-glutamate synthase,GH3 acyl acid amido synthetase,isochorismoyl-glutamate synthase;isochorismoyl glutamate synthase;Isochorismoyl-Glutamate Synthase; GH3 acyl adenylase-family enzyme,GH3 acyl acid amido synthetase;GH3,enzyme,exact_enzyme,,,Specific GH3-family acyl acid amido synthetase identity.,2026.07.17-v1,exact identifier or exact curated alias; no broad substring matching,False
PESI:DROUGHT_BCAT,drought-induced branched-chain amino-acid aminotransferase,branched-chain amino-acid aminotransferase,Drought-Induced Branched-Chain Amino Acid Aminotransferase;drought induced branched chain amino acid aminotransferase,Aminotransferase;branched-chain amino-acid aminotransferase;BCAT,enzyme,exact_enzyme,,,,2026.07.17-v1,exact identifier or exact curated alias; no broad substring matching,False
EC:3.2.1.1,alpha-amylase,alpha-amylase,alpha-amylase;alpha amylase;α-amylase,amylase;alpha-amylase,enzyme,exact_enzyme,EC:3.2.1.1,,,2026.07.17-v1,exact identifier or exact curated alias; no broad substring matching,True
PESI:ACTIVITY_CELLULASE,cellulase activity,cellulose-active carbohydrate enzyme,cellulase;cellulase activity,CAZy;glycoside hydrolase;cellulose-active carbohydrate enzyme,functional_activity,functional_category,,,Broad activity label; not an exact protein or CAZy family identity.,2026.07.17-v1,exact identifier or exact curated alias; no broad substring matching,False
PESI:CYTOCHROME_P450_FAMILY,cytochrome P450 family,cytochrome P450,cytochrome P450;P450;CYP450,Cytochrome P450;P450;CYP,enzyme_family,family,,,,2026.07.17-v1,exact identifier or exact curated alias; no broad substring matching,False
PESI:PEROXIDASE_FAMILY,peroxidase family,peroxidase,peroxidase,Peroxidase,enzyme_family,family,,,,2026.07.17-v1,exact identifier or exact curated alias; no broad substring matching,False
