enzyme_key,enzyme_name,enzyme_family,stage_assigned,target_class,critical_transition_score,criticality_score_formula,ml_anchor_probability,anchor_score,known_target_label,high_confidence_known_target_label,high_confidence_target_basis,herbicide_target_match,herbicide_target_family,herbicide_site_of_action,herbicide_target_score,known_inhibitor_classes,wssa_group,resistance_risks,pathway_essentiality_score,kinetic_evidence_score,structure_score,crop_selectivity_margin,natural_inhibitor_evidence_score,uncertainty_penalty,trajectory_curvature_max,trajectory_critical_t,source_evidence,evidence_class
GH13_11,GH13_11,GH,germination,carbohydrate_active_enzyme,0.5934884663482685,0.4656403909983268,0.9222406601052611,1,1,0,not_high_confidence,1,Tubulin/microtubule,microtubule assembly / tubulin polymerization,0.1,dinitroanilines,3,tubulin_target_site_mutation;application_escape,0.9,0.0,0.0,0.8864480727282695,0.0,0.11952412663618237,21.826878328586076,0.09090909090909091,CAZy,real_evidence_plus_model_inference
GH43_13,GH43_13,GH,germination,carbohydrate_active_enzyme,0.5776822429216711,0.4422868988534541,0.9258416990970864,1,1,0,not_high_confidence,1,Tubulin/microtubule,microtubule assembly / tubulin polymerization,0.1,dinitroanilines,3,tubulin_target_site_mutation;application_escape,0.9,0.0,0.0,0.8069484807238461,0.0,0.2181922773814811,20.73218413657051,0.09090909090909091,CAZy,real_evidence_plus_model_inference
Drought-Induced Branched-Chain Amino Acid Aminotransferase,Drought-Induced Branched-Chain Amino Acid Aminotransferase,Aminotransferase,germination,curated_family_function,0.5724640000000001,0.4062,1.0,1,1,0,not_high_confidence,1,Tubulin/microtubule,microtubule assembly / tubulin polymerization,0.1,dinitroanilines,3,tubulin_target_site_mutation;application_escape,0.9,0.0,0.0,0.73,0.0,0.41000000000000003,19.04061191526558,0.09090909090909091,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence_plus_model_inference
hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyl transferase 1,hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyl transferase 1,BAHD acyltransferase,early_vegetative,curated_family_function,0.5724640000000001,0.4062,1.0,1,1,1,core_transition_anchor_plus_atlas_match,1,EPSPS,5-enolpyruvylshikimate-3-phosphate synthase,0.65,glyphosate-like phosphonate transition-state/substrate mimics,9,target_site_mutation;target_amplification;reduced_translocation,0.9,0.0,0.0,0.73,0.0,0.41000000000000003,13.403880163001705,0.2727272727272727,BAHD_acyltransferase_Minimally_Curated_Set.xlsx,real_evidence_plus_model_inference
phosphoenolpyruvate carboxylase,phosphoenolpyruvate carboxylase,PEPC,vegetative_expansion,carbon_concentration_anaplerotic,0.5724640000000001,0.4062,1.0,1,1,1,core_transition_anchor_plus_atlas_match,1,ACCase,acetyl-CoA carboxylase,0.65,aryloxyphenoxypropionates/fops;cyclohexanediones/dims;phenylpyrazolines/dens,1,target_site_mutation;enhanced_metabolism,0.9,0.0,0.0,0.73,0.0,0.41000000000000003,17.599565668649873,0.36363636363636365,weed_assignment,real_evidence_plus_model_inference
alpha-amylase,alpha-amylase,amylase,germination,reserve_mobilization,0.5724640000000001,0.4062,1.0,1,1,0,not_high_confidence,1,Tubulin/microtubule,microtubule assembly / tubulin polymerization,0.1,dinitroanilines,3,tubulin_target_site_mutation;application_escape,0.9,0.0,0.0,0.73,0.0,0.41000000000000003,19.04061191526558,0.09090909090909091,weed_assignment,real_evidence_plus_model_inference
cellulase,cellulase,CAZy,germination,cell_wall_remodeling,0.5724640000000001,0.4062,1.0,1,1,1,core_transition_anchor_plus_atlas_match,1,CAZy/cell wall,cell wall carbohydrate metabolism / cellulose-associated enzymes,1.0,cell_wall_synthesis_inhibitors;glycosidase_inhibitor_like,20/unknown,pathway_bypass;reduced_uptake,0.9,0.0,0.0,0.73,0.0,0.41000000000000003,19.04061191526558,0.09090909090909091,weed_assignment,real_evidence_plus_model_inference
acetolactate synthase,acetolactate synthase,ALS/AHAS,seedling_emergence,branched_chain_amino_acid_biosynthesis,0.5724640000000001,0.4062,1.0,1,1,1,core_transition_anchor_plus_atlas_match,1,ALS/AHAS,acetolactate synthase / acetohydroxyacid synthase,1.0,sulfonylureas;imidazolinones;triazolopyrimidines;pyrimidinyl-thiobenzoates,2,target_site_mutation;metabolic_resistance;cross_resistance,0.9,0.0,0.0,0.73,0.0,0.41000000000000003,16.38140109195618,0.18181818181818182,weed_assignment,real_evidence_plus_model_inference
EPSP synthase,EPSP synthase,EPSPS,early_vegetative,shikimate_aromatic_amino_acid_biosynthesis,0.5724640000000001,0.4062,1.0,1,1,1,core_transition_anchor_plus_atlas_match,1,EPSPS,5-enolpyruvylshikimate-3-phosphate synthase,1.0,glyphosate-like phosphonate transition-state/substrate mimics,9,target_site_mutation;target_amplification;reduced_translocation,0.9,0.0,0.0,0.73,0.0,0.41000000000000003,13.403880163001705,0.2727272727272727,weed_assignment,real_evidence_plus_model_inference
acetyl-CoA carboxylase,acetyl-CoA carboxylase,ACCase,vegetative_expansion,fatty_acid_biosynthesis,0.5724640000000001,0.4062,1.0,1,1,1,core_transition_anchor_plus_atlas_match,1,ACCase,acetyl-CoA carboxylase,1.0,aryloxyphenoxypropionates/fops;cyclohexanediones/dims;phenylpyrazolines/dens,1,target_site_mutation;enhanced_metabolism,0.9,0.0,0.0,0.73,0.0,0.41000000000000003,17.599565668649873,0.36363636363636365,weed_assignment,real_evidence_plus_model_inference
