group_id,target_enzyme,target_family,stage,members,member_count,source_score_list,match_schema,epsilon_threshold,synergy_group_score,evidence_class
225fa67d5eb43496,photosystem II,PSII,early_vegetative,(2-amino-1-hydroxyethyl)phosphonate;2-hydroxyethylphosphonate,2,"2-hydroxyethylphosphonate:[SKiD_substrates,0.707]|(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9382695309376924,inhibit_synergy_model_inference_requires_assay_validation
4a4ffa42595df9c4,protoporphyrinogen oxidase,PPO,vegetative_expansion,(2-amino-1-hydroxyethyl)phosphonate;2-hydroxyethylphosphonate,2,"2-hydroxyethylphosphonate:[SKiD_substrates,0.707]|(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9382695309376924,inhibit_synergy_model_inference_requires_assay_validation
f64d704fdf0c7a08,acetyl-CoA carboxylase,ACCase,vegetative_expansion,(2-amino-1-hydroxyethyl)phosphonate;2-hydroxyethylphosphonate,2,"2-hydroxyethylphosphonate:[SKiD_substrates,0.707]|(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9382695309376924,inhibit_synergy_model_inference_requires_assay_validation
9f28516eb72cae16,cytochrome P450,Cytochrome P450,specialized_metabolism,(2-amino-1-hydroxyethyl)phosphonate;2-hydroxyethylphosphonate,2,"2-hydroxyethylphosphonate:[SKiD_substrates,0.707]|(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9382695309376924,inhibit_synergy_model_inference_requires_assay_validation
8243c83bb33ce478,photosystem II,PSII,early_vegetative,"2-(2-hydroxyethylthio)ethanesulfonate;3,4-dihydroxybenzoate",2,"2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]|3,4-dihydroxybenzoate:[SKiD_substrates,0.542]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9208992233869231,inhibit_synergy_model_inference_requires_assay_validation
4b5e4dfe45abcfd9,acetyl-CoA carboxylase,ACCase,vegetative_expansion,"2-(2-hydroxyethylthio)ethanesulfonate;3,4-dihydroxybenzoate",2,"2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]|3,4-dihydroxybenzoate:[SKiD_substrates,0.542]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9208992233869231,inhibit_synergy_model_inference_requires_assay_validation
d40c1430ac7cdd9b,cellulase,CAZy,germination,"2-(2-hydroxyethylthio)ethanesulfonate;3,4-dihydroxybenzoate",2,"2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]|3,4-dihydroxybenzoate:[SKiD_substrates,0.542]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9208992233869231,inhibit_synergy_model_inference_requires_assay_validation
067a3bfb83697988,acetolactate synthase,ALS/AHAS,seedling_emergence,"2-(2-hydroxyethylthio)ethanesulfonate;3,4-dihydroxybenzoate",2,"2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]|3,4-dihydroxybenzoate:[SKiD_substrates,0.542]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9208992233869231,inhibit_synergy_model_inference_requires_assay_validation
3b1250fea1d953fc,protoporphyrinogen oxidase,PPO,vegetative_expansion,"2-(2-hydroxyethylthio)ethanesulfonate;3,4-dihydroxybenzoate",2,"2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]|3,4-dihydroxybenzoate:[SKiD_substrates,0.542]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9208992233869231,inhibit_synergy_model_inference_requires_assay_validation
4b9f57e148eda2ed,EPSP synthase,EPSPS,early_vegetative,"2-(2-hydroxyethylthio)ethanesulfonate;3,4-dihydroxybenzoate",2,"2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]|3,4-dihydroxybenzoate:[SKiD_substrates,0.542]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9208992233869231,inhibit_synergy_model_inference_requires_assay_validation
ed88ac29e8744758,cytochrome P450,Cytochrome P450,specialized_metabolism,"2-(2-hydroxyethylthio)ethanesulfonate;3,4-dihydroxybenzoate",2,"2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]|3,4-dihydroxybenzoate:[SKiD_substrates,0.542]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9208992233869231,inhibit_synergy_model_inference_requires_assay_validation
4d6a9fb3e46aa5dc,photosystem II,PSII,early_vegetative,(2-amino-1-hydroxyethyl)phosphonate;2-(2-hydroxyethylthio)ethanesulfonate,2,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9083713217823077,inhibit_synergy_model_inference_requires_assay_validation
c674a4ab991cc5b7,acetolactate synthase,ALS/AHAS,seedling_emergence,(2-amino-1-hydroxyethyl)phosphonate;2-(2-hydroxyethylthio)ethanesulfonate,2,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9083713217823077,inhibit_synergy_model_inference_requires_assay_validation
07e786a98fe5cca2,cytochrome P450,Cytochrome P450,specialized_metabolism,(2-amino-1-hydroxyethyl)phosphonate;2-(2-hydroxyethylthio)ethanesulfonate,2,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9083713217823077,inhibit_synergy_model_inference_requires_assay_validation
b225d68f7b9fd276,protoporphyrinogen oxidase,PPO,vegetative_expansion,(2-amino-1-hydroxyethyl)phosphonate;2-(2-hydroxyethylthio)ethanesulfonate,2,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.578]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.92,0.9083713217823077,inhibit_synergy_model_inference_requires_assay_validation
