compound_id,compound_name,smiles,source_resource,source_detail,evidence_class,compound_name_canonical,mw,logp,tpsa,hbd,hba,hazard_proxy,persistence_proxy,availability_score,compound_priority_class,compound_exclusion_reason,natural_product_evidence_score,known_inhibitor_similarity_score,functional_group_inhibition_score,transition_state_mimic_score,active_site_compatibility_score,delivery_plausibility_score,solvent_penalty,reactive_aldehyde_penalty,generic_assay_penalty,intervention_suitability_score,phytochemical_class,phytochemical_class_score,functional_group_hits,compound_rule_evidence_class
2-hydroxyethylphosphonate,2-hydroxyethylphosphonate,OCCP([O-])([O-])=O,SKiD_substrates,EC=1.13.11.72;site=Substrate_only,real_evidence,2-hydroxyethylphosphonate,124.03199999999998,-2.1075999999999997,83.41999999999999,1.0,4.0,0.36680999999999997,0.0,0.55,known_inhibitor_like,,0.443,0.8500000000000001,0.54,0.7000000000000001,0.6592531353846155,0.5525313538461538,0.0,0.0,0.15,0.6053559353846154,organophosphonate_transition_state_mimic,0.63,phenolic_or_aromatic_hydroxyl;transition_state_acidic_mimic,rule_based_model_inference_with_real_source_evidence
(2-amino-1-hydroxyethyl)phosphonate,(2-amino-1-hydroxyethyl)phosphonate,NCC(O)P([O-])([O-])=O,SKiD_substrates,EC=1.13.11.78;site=Substrate_only,real_evidence,2-amino-1-hydroxyethyl phosphonate,139.047,-2.8227999999999995,109.44,2.0,5.0,0.46872249999999993,0.0,0.55,known_inhibitor_like,,0.443,0.8500000000000001,0.54,0.7000000000000001,0.6536735253846155,0.4967352538461539,0.0,0.0,0.15,0.5875468253846153,organophosphonate_transition_state_mimic,0.63,phenolic_or_aromatic_hydroxyl;transition_state_acidic_mimic,rule_based_model_inference_with_real_source_evidence
2-(2-hydroxyethylthio)ethanesulfonate,2-(2-hydroxyethylthio)ethanesulfonate,OCCSCCS(=O)(=O)[O-],SKiD_substrates,EC=1.1.1.268;site=Substrate+Cofactor,real_evidence,2- 2-hydroxyethylthio ethanesulfonate,185.24599999999998,-0.7429000000000001,77.42999999999999,1.0,5.0,0.24723416666666667,0.0,0.55,transition_state_mimic_candidate,,0.461,0.3,0.54,0.7000000000000001,0.5625788030769231,0.6857880307692307,0.0,0.0,0.15,0.5197507030769231,organosulfur_sulfonate,0.81,phenolic_or_aromatic_hydroxyl;transition_state_acidic_mimic,rule_based_model_inference_with_real_source_evidence
"3,4-dihydroxybenzoate","3,4-dihydroxybenzoate",OC=1C=C(C(=O)[O-])C=CC1O,SKiD_substrates,EC=1.14.13.2;site=Substrate+Cofactor,real_evidence,3 4-dihydroxybenzoate,153.11299999999997,-0.5387000000000002,80.59,2.0,4.0,0.19493166666666667,0.012291999999999942,0.55,known_inhibitor_like,,0.479,0.7000000000000001,0.42000000000000004,0.25,0.4423460053846154,0.6784600538461538,0.0,0.0,0.15,0.5193308453846155,phenolic_acid_or_benzoate,0.99,phenolic_or_aromatic_hydroxyl,rule_based_model_inference_with_real_source_evidence
4-hydroxybenzoate,4-hydroxybenzoate,OC1=CC=C(C(=O)[O-])C=C1,SKiD_substrates,EC=1.14.13.2;site=Substrate+Cofactor,real_evidence,4-hydroxybenzoate,137.114,-0.24429999999999996,60.36,1.0,3.0,0.14479916666666665,0.050692666666666684,0.55,known_inhibitor_like,,0.461,0.7000000000000001,0.42000000000000004,0.25,0.4400211984615385,0.6552119846153845,0.0,0.0,0.15,0.5012298851282051,phenolic_acid_or_benzoate,0.81,phenolic_or_aromatic_hydroxyl,rule_based_model_inference_with_real_source_evidence
(2S)-3-carboxy-N-(fluoromethyl)-2-hydroxy-N N-dimethylpropan-1-aminium,(2S)-3-carboxy-N-(fluoromethyl)-2-hydroxy-N N-dimethylpropan-1-aminium,C(=O)(O)C[C@@H](C[N+](C)(C)CF)O,SKiD_substrates,EC=1.14.11.1;site=Substrate_only,real_evidence,2s -3-carboxy-n- fluoromethyl -2-hydroxy-n n-dimethylpropan-1-aminium,180.19899999999998,-0.17460000000000003,57.53,2.0,2.0,0.17199083333333334,0.09103266666666665,0.55,known_inhibitor_like,,0.26,0.7000000000000001,0.42000000000000004,0.25,0.44355060076923075,0.6905060076923076,0.0,0.0,0.15,0.38522908743589745,unclassified_or_unknown,0.0,phenolic_or_aromatic_hydroxyl,rule_based_model_inference_with_real_source_evidence
"2,3-Dihydroxybenzoic acid","2,3-Dihydroxybenzoic acid",OC1=C(C(=O)O)C=CC=C1O,SKiD_substrates,EC=1.13.11.1;site=Substrate_only,real_evidence,2 3-dihydroxybenzoic acid,154.12099999999995,0.7959999999999998,77.76,3.0,3.0,0.2279341666666666,0.23541399999999993,0.55,allelopathic_secondary_metabolite,,0.643,0.15,0.42000000000000004,0.25,0.3410788807692307,0.7657888076923076,0.0,0.0,0.15,0.3848136607692308,phenolic_acid_or_benzoate,0.63,phenolic_or_aromatic_hydroxyl,rule_based_model_inference_with_real_source_evidence
"1,4-benzoquinone","1,4-benzoquinone",C1(C=CC(C=C1)=O)=O,SKiD_substrates,EC=1.1.99.29;site=Substrate+Cofactor,real_evidence,1 4-benzoquinone,108.09599999999999,0.25059999999999993,34.14,0.0,2.0,0.12140499999999999,0.11383066666666664,0.55,oxidative_stress_inducer_candidate,,0.661,0.15,0.42000000000000004,0.1,0.27460975692307693,0.6260975692307692,0.0,0.0,0.15,0.38057470358974366,quinone_redox_candidate,0.81,quinone_ros_redox,rule_based_model_inference_with_real_source_evidence
"2,6-dimethoxyphenol","2,6-dimethoxyphenol",COC1=C(C(=CC=C1)OC)O,SKiD_substrates,EC=1.10.3.2;site=Substrate_only,real_evidence,2 6-dimethoxyphenol,154.16499999999996,1.4093999999999995,38.69,1.0,3.0,0.3046458333333333,0.33767666666666657,0.55,known_inhibitor_like,,0.46,0.7000000000000001,0.42000000000000004,0.1,0.3968930546153846,0.748930546153846,0.0,0.0,0.15,0.37192142128205136,unclassified_or_unknown,0.0,phenolic_or_aromatic_hydroxyl,rule_based_model_inference_with_real_source_evidence
p-toluquinone,p-toluquinone,CC1=CC(=O)C=CC1=O,SKiD_substrates,EC=1.1.1.184;site=Substrate+Cofactor,real_evidence,p-toluquinone,122.12299999999998,0.6407,34.14,0.0,2.0,0.18185666666666667,0.18819866666666665,0.55,oxidative_stress_inducer_candidate,,0.661,0.15,0.42000000000000004,0.1,0.2783953869230769,0.6639538692307692,0.0,0.0,0.15,0.3711566935897436,quinone_redox_candidate,0.81,quinone_ros_redox,rule_based_model_inference_with_real_source_evidence
"2-chloro-1,4-benzoquinone","2-chloro-1,4-benzoquinone",ClC=1C(C=CC(C1)=O)=O,SKiD_substrates,EC=1.1.99.29;site=Substrate+Cofactor,real_evidence,2-chloro-1 4-benzoquinone,142.54099999999997,0.8170999999999999,34.14,0.0,2.0,0.22092166666666663,0.23121066666666662,0.55,oxidative_stress_inducer_candidate,,0.661,0.15,0.42000000000000004,0.1,0.2812440530769231,0.6924405307692307,0.0,0.0,0.15,0.3658765997435897,quinone_redox_candidate,0.81,quinone_ros_redox,rule_based_model_inference_with_real_source_evidence
hydroquinone,hydroquinone,C1(O)=CC=C(O)C=C1,SKiD_substrates,EC=1.13.11.66;site=Substrate_only,real_evidence,hydroquinone,110.11199999999998,1.0977999999999999,40.46,2.0,2.0,0.22898499999999997,0.25637466666666664,0.55,oxidative_stress_inducer_candidate,,0.661,0.15,0.42000000000000004,0.1,0.2814815476923077,0.6948154769230769,0.0,0.0,0.15,0.36313337435897436,quinone_redox_candidate,0.81,quinone_ros_redox,rule_based_model_inference_with_real_source_evidence
methoxyhydroquinone,methoxyhydroquinone,COC1=C(O)C=CC(=C1)O,SKiD_substrates,EC=1.11.1.16;site=Substrate+Cofactor,real_evidence,methoxyhydroquinone,140.13799999999998,1.1063999999999996,49.69,2.0,3.0,0.2550816666666666,0.27782533333333326,0.55,oxidative_stress_inducer_candidate,,0.661,0.15,0.42000000000000004,0.1,0.2853497046153846,0.733497046153846,0.0,0.0,0.15,0.362153877948718,quinone_redox_candidate,0.81,quinone_ros_redox,rule_based_model_inference_with_real_source_evidence
D-luciferyl-O-adenosine monophosphate,D-luciferyl-O-adenosine monophosphate,O=C(C1C=NC(S1)c1nc2c(s1)cc(cc2)O)OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)[O-],SKiD_substrates,EC=1.13.12.7;site=Substrate_only,real_evidence,d-luciferyl-o-adenosine monophosphate,608.531,0.2562,240.45000000000002,4.0,17.0,0.5391341666666666,0.4483873333333333,0.55,known_inhibitor_like,,0.26,0.8500000000000001,0.27,0.55,0.49927023307692314,0.42270233076923075,0.0,0.0,0.15,0.3533031464102565,unclassified_or_unknown,0.0,transition_state_acidic_mimic,rule_based_model_inference_with_real_source_evidence
"1,2-naphthoquinone","1,2-naphthoquinone",C1(C(C=CC2=CC=CC=C12)=O)=O,SKiD_substrates,EC=1.1.1.184;site=Substrate+Cofactor,real_evidence,1 2-naphthoquinone,158.15599999999998,1.4652,34.14,0.0,2.0,0.31494666666666665,0.3496373333333333,0.55,oxidative_stress_inducer_candidate,,0.661,0.15,0.42000000000000004,0.1,0.2869123446153846,0.7491234461538461,0.0,0.0,0.15,0.350787757948718,quinone_redox_candidate,0.81,quinone_ros_redox,rule_based_model_inference_with_real_source_evidence
3-hydroxysalicylate,3-hydroxysalicylate,OC1=C(C(C(=O)[O-])=CC=C1)O,SKiD_substrates,EC=1.13.11.4;site=Substrate_only,real_evidence,3-hydroxysalicylate,153.11299999999997,-0.5387000000000002,80.59,2.0,4.0,0.19493166666666667,0.012291999999999942,0.55,natural_product_candidate,,0.443,0.15,0.42000000000000004,0.25,0.33234600538461534,0.6784600538461538,0.0,0.0,0.15,0.34989084538461535,phenolic_acid_or_benzoate,0.63,phenolic_or_aromatic_hydroxyl,rule_based_model_inference_with_real_source_evidence
