enzyme_key,enzyme_name,enzyme_family,stage,target_class,anchor_hit,source_evidence,evidence_class,species,substrate,product,kinetic_records,median_parameter,pH_median,temp_median,uniprot_count,organism_count,site_types,plant_like_records,stage_assigned,stage_index,kinetic_evidence_score,organism_evidence_score,plant_context_score,anchor_score,structure_score,natural_inhibitor_evidence_score,crop_selectivity_margin,uncertainty_penalty,pathway_essentiality_score,criticality_score_formula,trajectory_peak,trajectory_curvature_max,trajectory_critical_t,enzyme_state_text,enzyme_state_cluster
alpha-amylase,alpha-amylase,amylase,germination,reserve_mobilization,1,weed_assignment,real_evidence,,,,0.0,,,,,0.0,,0.0,germination,0.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.9,0.4062,0.4045249508321955,19.04061191526558,0.09090909090909091,alpha-amylase amylase reserve_mobilization germination,2
cellulase,cellulase,CAZy,germination,cell_wall_remodeling,1,weed_assignment,real_evidence,,,,0.0,,,,,0.0,,0.0,germination,0.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.9,0.4062,0.4045249508321955,19.04061191526558,0.09090909090909091,cellulase CAZy cell_wall_remodeling germination,2
acetolactate synthase,acetolactate synthase,ALS/AHAS,seedling_emergence,branched_chain_amino_acid_biosynthesis,1,weed_assignment,real_evidence,,,,0.0,,,,,0.0,,0.0,seedling_emergence,1.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.9,0.4062,0.40156412273875075,16.38140109195618,0.18181818181818182,acetolactate synthase ALS/AHAS branched_chain_amino_acid_biosynthesis seedling_emergence,2
EPSP synthase,EPSP synthase,EPSPS,early_vegetative,shikimate_aromatic_amino_acid_biosynthesis,1,weed_assignment,real_evidence,,,,0.0,,,,,0.0,,0.0,early_vegetative,2.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.9,0.4062,0.39856520748780117,13.403880163001705,0.2727272727272727,EPSP synthase EPSPS shikimate_aromatic_amino_acid_biosynthesis early_vegetative,6
photosystem II,photosystem II,PSII,early_vegetative,photosynthesis_electron_transport,1,weed_assignment,real_evidence,,,,0.0,,,,,0.0,,0.0,early_vegetative,2.0,0.0,0.0,0.0,1,0.0,0.0,0.48,0.41000000000000003,0.9,0.3762,0.3691290769495588,12.413933326738658,0.2727272727272727,photosystem II PSII photosynthesis_electron_transport early_vegetative,3
ribulose bisphosphate carboxylase oxygenase,ribulose bisphosphate carboxylase oxygenase,RuBisCO,vegetative_expansion,carbon_fixation,1,weed_assignment,real_evidence,,,,0.0,,,,,0.0,,0.0,vegetative_expansion,3.0,0.0,0.0,0.0,1,0.0,0.0,0.48,0.41000000000000003,0.9,0.3762,0.35213168628025504,16.29974545678504,0.36363636363636365,ribulose bisphosphate carboxylase oxygenase RuBisCO carbon_fixation vegetative_expansion,2
protoporphyrinogen oxidase,protoporphyrinogen oxidase,PPO,vegetative_expansion,chlorophyll_tetrapyrrole_biosynthesis,1,weed_assignment,real_evidence,,,,0.0,,,,,0.0,,0.0,vegetative_expansion,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.9,0.4062,0.38021236301711747,17.599565668649873,0.36363636363636365,protoporphyrinogen oxidase PPO chlorophyll_tetrapyrrole_biosynthesis vegetative_expansion,2
acetyl-CoA carboxylase,acetyl-CoA carboxylase,ACCase,vegetative_expansion,fatty_acid_biosynthesis,1,weed_assignment,real_evidence,,,,0.0,,,,,0.0,,0.0,vegetative_expansion,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.9,0.4062,0.38021236301711747,17.599565668649873,0.36363636363636365,acetyl-CoA carboxylase ACCase fatty_acid_biosynthesis vegetative_expansion,2
phosphoenolpyruvate carboxylase,phosphoenolpyruvate carboxylase,PEPC,vegetative_expansion,carbon_concentration_anaplerotic,1,weed_assignment,real_evidence,,,,0.0,,,,,0.0,,0.0,vegetative_expansion,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.9,0.4062,0.38021236301711747,17.599565668649873,0.36363636363636365,phosphoenolpyruvate carboxylase PEPC carbon_concentration_anaplerotic vegetative_expansion,2
peroxidase,peroxidase,Peroxidase,stress_response,oxidative_stress_redox_control,1,curated_families,real_evidence,,,,0.0,,,,,0.0,,0.0,stress_response,7.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3897010762767492,15.897460143892477,0.8181818181818182,peroxidase Peroxidase oxidative_stress_redox_control stress_response,2
