src,dst,rel,source_resource,evidence_class
Protein:P00327,EnzymeEC:1.1.1.1,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:4-amino-1-butanol,has_kinetic_substrate,SKiD,real_evidence
Protein:P00330,EnzymeEC:1.1.1.1,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:ethanol,has_kinetic_substrate,SKiD,real_evidence
Protein:P06525,EnzymeEC:1.1.1.1,annotated_as_ec,SKiD,real_evidence
Protein:P39462,EnzymeEC:1.1.1.1,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:(R)-2-pentanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:(R)-2-butanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:3-Pentanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:(S)-2-pentanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:1-Heptanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:2-ethoxyethanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:1-Hexanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:trans-cinnamaldehyde,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:1-butanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:1-propanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:1-Pentanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:(S)-2-butanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:Isobutyraldehyde,has_kinetic_substrate,SKiD,real_evidence
Protein:Q9Y9P9,EnzymeEC:1.1.1.1,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:NADH,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:Cyclohexanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:NAD+,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:2-decanone,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:2-propanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:2-Heptanone,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:2-Octanone,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:2-Pentanone,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:4-methoxybenzyl_alcohol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:2-Pentanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:cyclohexanone,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:benzyl_alcohol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:2-Hexanone,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:4-methoxyphenylacetone,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:benzaldehyde,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:2-butanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:tert-butyl_acetoacetate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.1,Compound:Butyraldehyde,has_kinetic_substrate,SKiD,real_evidence
Protein:P14697,EnzymeEC:1.1.1.100,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.100,Compound:NADPH,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.100,Compound:acetoacetyl-CoA,has_kinetic_substrate,SKiD,real_evidence
Protein:D6PBM7,EnzymeEC:1.1.1.103,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.103,Compound:L-threonine,has_kinetic_substrate,SKiD,real_evidence
Protein:Q97BK3,EnzymeEC:1.1.1.103,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.103,Compound:L-serine,has_kinetic_substrate,SKiD,real_evidence
Protein:Q96ZY1,EnzymeEC:1.1.1.119,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.119,Compound:NADP+,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.119,Compound:D-glucose,has_kinetic_substrate,SKiD,real_evidence
Protein:Q5SLC4,EnzymeEC:1.1.1.121,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.121,Compound:(R)-indanol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.121,Compound:alpha-tetralone,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.121,Compound:D-fucose,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.121,Compound:D-xylose,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.121,Compound:2-deoxy-D-glucose,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.121,"Compound:phenyl-1,2-propanedione",has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.121,Compound:D-talose,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.121,Compound:D-galactosamine,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.121,Compound:D-glucosamine,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.121,Compound:L-fucose,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.121,Compound:cellobiose,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.121,Compound:1-Acenaphthenol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.121,Compound:cis-benzene_dihydrodiol,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.121,Compound:isatin,has_kinetic_substrate,SKiD,real_evidence
Protein:A7A7R9,EnzymeEC:1.1.1.149,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.149,Compound:cortisol,has_kinetic_substrate,SKiD,real_evidence
Protein:G9FRD7,EnzymeEC:1.1.1.159,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.159,Compound:chenodeoxycholic_acid,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.159,Compound:NADP+,has_kinetic_substrate,SKiD,real_evidence
Protein:A0A0J9X283,EnzymeEC:1.1.1.169,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.169,Compound:NADPH,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.169,Compound:(R)-4-dehydropantoate,has_kinetic_substrate,SKiD,real_evidence
Protein:P0A9J4,EnzymeEC:1.1.1.169,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.169,Compound:2-dehydropantoate,has_kinetic_substrate,SKiD,real_evidence
Protein:Q5JGC2,EnzymeEC:1.1.1.169,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.169,Compound:(R)-pantoate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.169,Compound:NADH,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.169,Compound:NAD+,has_kinetic_substrate,SKiD,real_evidence
Protein:Q9TQS6,EnzymeEC:1.1.1.179,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.179,Compound:D-xylose,has_kinetic_substrate,SKiD,real_evidence
Protein:P26935,EnzymeEC:1.1.1.18,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.18,Compound:myo-inositol,has_kinetic_substrate,SKiD,real_evidence
Protein:B2KJ46,EnzymeEC:1.1.1.184,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:NADPH,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:2-hydroxyacetophenone,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:NADH,has_kinetic_substrate,SKiD,real_evidence
Protein:F1N9C1,EnzymeEC:1.1.1.184,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:testosterone,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:estrone,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:prostaglandin_E2,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:acetone,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.184,"Compound:9,10-phenanthrenequinone",has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:p-toluquinone,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:4-nitrobenzaldehyde,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:menadione,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:isatin,has_kinetic_substrate,SKiD,real_evidence
Protein:P16152,EnzymeEC:1.1.1.184,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.184,"Compound:1,4-Naphthoquinone",has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:3-glutathionyl-hexanal,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:daunorubicin,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:S-nitrosoglutathione,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:3-glutathionyl-nonanal,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:glutathionyl-nonanal,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:3-glutathionyl-propanal,has_kinetic_substrate,SKiD,real_evidence
Protein:Q28960,EnzymeEC:1.1.1.184,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.184,"Compound:1-(3-methyl-1,4-dioxidoquinoxalin-2-yl)ethanone",has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:1-(3-methyl-4-oxidoquinoxalin-2-yl)ethanone,has_kinetic_substrate,SKiD,real_evidence
Protein:Q5FQJ0,EnzymeEC:1.1.1.184,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.184,Compound:methylglyoxal,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.184,"Compound:2,3-Pentanedione",has_kinetic_substrate,SKiD,real_evidence
Protein:Q9X265,EnzymeEC:1.1.1.184,annotated_as_ec,SKiD,real_evidence
