node_id,node_type,label,source_resource,evidence_class
EnzymeEC:1.1.1.1,EnzymeEC,1.1.1.1,SKiD,real_evidence
EnzymeEC:1.1.1.100,EnzymeEC,1.1.1.100,SKiD,real_evidence
EnzymeEC:1.1.1.103,EnzymeEC,1.1.1.103,SKiD,real_evidence
EnzymeEC:1.1.1.119,EnzymeEC,1.1.1.119,SKiD,real_evidence
EnzymeEC:1.1.1.121,EnzymeEC,1.1.1.121,SKiD,real_evidence
EnzymeEC:1.1.1.149,EnzymeEC,1.1.1.149,SKiD,real_evidence
EnzymeEC:1.1.1.159,EnzymeEC,1.1.1.159,SKiD,real_evidence
EnzymeEC:1.1.1.169,EnzymeEC,1.1.1.169,SKiD,real_evidence
EnzymeEC:1.1.1.179,EnzymeEC,1.1.1.179,SKiD,real_evidence
EnzymeEC:1.1.1.18,EnzymeEC,1.1.1.18,SKiD,real_evidence
EnzymeEC:1.1.1.184,EnzymeEC,1.1.1.184,SKiD,real_evidence
EnzymeEC:1.1.1.188,EnzymeEC,1.1.1.188,SKiD,real_evidence
EnzymeEC:1.1.1.195,EnzymeEC,1.1.1.195,SKiD,real_evidence
EnzymeEC:1.1.1.203,EnzymeEC,1.1.1.203,SKiD,real_evidence
EnzymeEC:1.1.1.205,EnzymeEC,1.1.1.205,SKiD,real_evidence
EnzymeEC:1.1.1.206,EnzymeEC,1.1.1.206,SKiD,real_evidence
EnzymeEC:1.1.1.209,EnzymeEC,1.1.1.209,SKiD,real_evidence
EnzymeEC:1.1.1.21,EnzymeEC,1.1.1.21,SKiD,real_evidence
EnzymeEC:1.1.1.213,EnzymeEC,1.1.1.213,SKiD,real_evidence
EnzymeEC:1.1.1.22,EnzymeEC,1.1.1.22,SKiD,real_evidence
EnzymeEC:1.1.1.236,EnzymeEC,1.1.1.236,SKiD,real_evidence
EnzymeEC:1.1.1.24,EnzymeEC,1.1.1.24,SKiD,real_evidence
EnzymeEC:1.1.1.25,EnzymeEC,1.1.1.25,SKiD,real_evidence
EnzymeEC:1.1.1.267,EnzymeEC,1.1.1.267,SKiD,real_evidence
EnzymeEC:1.1.1.268,EnzymeEC,1.1.1.268,SKiD,real_evidence
EnzymeEC:1.1.1.27,EnzymeEC,1.1.1.27,SKiD,real_evidence
EnzymeEC:1.1.1.28,EnzymeEC,1.1.1.28,SKiD,real_evidence
EnzymeEC:1.1.1.286,EnzymeEC,1.1.1.286,SKiD,real_evidence
EnzymeEC:1.1.1.3,EnzymeEC,1.1.1.3,SKiD,real_evidence
EnzymeEC:1.1.1.30,EnzymeEC,1.1.1.30,SKiD,real_evidence
EnzymeEC:1.1.1.31,EnzymeEC,1.1.1.31,SKiD,real_evidence
EnzymeEC:1.1.1.313,EnzymeEC,1.1.1.313,SKiD,real_evidence
EnzymeEC:1.1.1.317,EnzymeEC,1.1.1.317,SKiD,real_evidence
EnzymeEC:1.1.1.335,EnzymeEC,1.1.1.335,SKiD,real_evidence
EnzymeEC:1.1.1.343,EnzymeEC,1.1.1.343,SKiD,real_evidence
EnzymeEC:1.1.1.35,EnzymeEC,1.1.1.35,SKiD,real_evidence
EnzymeEC:1.1.1.350,EnzymeEC,1.1.1.350,SKiD,real_evidence
EnzymeEC:1.1.1.359,EnzymeEC,1.1.1.359,SKiD,real_evidence
EnzymeEC:1.1.1.363,EnzymeEC,1.1.1.363,SKiD,real_evidence
EnzymeEC:1.1.1.368,EnzymeEC,1.1.1.368,SKiD,real_evidence
EnzymeEC:1.1.1.37,EnzymeEC,1.1.1.37,SKiD,real_evidence
EnzymeEC:1.1.1.370,EnzymeEC,1.1.1.370,SKiD,real_evidence
EnzymeEC:1.1.1.373,EnzymeEC,1.1.1.373,SKiD,real_evidence
EnzymeEC:1.1.1.376,EnzymeEC,1.1.1.376,SKiD,real_evidence
EnzymeEC:1.1.1.38,EnzymeEC,1.1.1.38,SKiD,real_evidence
EnzymeEC:1.1.1.383,EnzymeEC,1.1.1.383,SKiD,real_evidence
EnzymeEC:1.1.1.40,EnzymeEC,1.1.1.40,SKiD,real_evidence
EnzymeEC:1.1.1.41,EnzymeEC,1.1.1.41,SKiD,real_evidence
EnzymeEC:1.1.1.42,EnzymeEC,1.1.1.42,SKiD,real_evidence
EnzymeEC:1.1.1.422,EnzymeEC,1.1.1.422,SKiD,real_evidence
EnzymeEC:1.1.1.44,EnzymeEC,1.1.1.44,SKiD,real_evidence
EnzymeEC:1.1.1.49,EnzymeEC,1.1.1.49,SKiD,real_evidence
EnzymeEC:1.1.1.54,EnzymeEC,1.1.1.54,SKiD,real_evidence
EnzymeEC:1.1.1.62,EnzymeEC,1.1.1.62,SKiD,real_evidence
EnzymeEC:1.1.1.76,EnzymeEC,1.1.1.76,SKiD,real_evidence
EnzymeEC:1.1.1.8,EnzymeEC,1.1.1.8,SKiD,real_evidence
EnzymeEC:1.1.1.85,EnzymeEC,1.1.1.85,SKiD,real_evidence
EnzymeEC:1.1.1.86,EnzymeEC,1.1.1.86,SKiD,real_evidence
EnzymeEC:1.1.1.91,EnzymeEC,1.1.1.91,SKiD,real_evidence
EnzymeEC:1.1.1.95,EnzymeEC,1.1.1.95,SKiD,real_evidence
EnzymeEC:1.1.2.3,EnzymeEC,1.1.2.3,SKiD,real_evidence
EnzymeEC:1.1.3.10,EnzymeEC,1.1.3.10,SKiD,real_evidence
EnzymeEC:1.1.3.12,EnzymeEC,1.1.3.12,SKiD,real_evidence
EnzymeEC:1.1.3.13,EnzymeEC,1.1.3.13,SKiD,real_evidence
EnzymeEC:1.1.3.15,EnzymeEC,1.1.3.15,SKiD,real_evidence
EnzymeEC:1.1.3.2,EnzymeEC,1.1.3.2,SKiD,real_evidence
EnzymeEC:1.1.3.38,EnzymeEC,1.1.3.38,SKiD,real_evidence
EnzymeEC:1.1.3.4,EnzymeEC,1.1.3.4,SKiD,real_evidence
EnzymeEC:1.1.3.41,EnzymeEC,1.1.3.41,SKiD,real_evidence
EnzymeEC:1.1.3.46,EnzymeEC,1.1.3.46,SKiD,real_evidence
EnzymeEC:1.1.3.47,EnzymeEC,1.1.3.47,SKiD,real_evidence
EnzymeEC:1.1.3.6,EnzymeEC,1.1.3.6,SKiD,real_evidence
EnzymeEC:1.1.3.7,EnzymeEC,1.1.3.7,SKiD,real_evidence
EnzymeEC:1.1.3.9,EnzymeEC,1.1.3.9,SKiD,real_evidence
EnzymeEC:1.1.5.2,EnzymeEC,1.1.5.2,SKiD,real_evidence
EnzymeEC:1.1.5.5,EnzymeEC,1.1.5.5,SKiD,real_evidence
EnzymeEC:1.1.5.9,EnzymeEC,1.1.5.9,SKiD,real_evidence
EnzymeEC:1.1.99.18,EnzymeEC,1.1.99.18,SKiD,real_evidence
EnzymeEC:1.1.99.29,EnzymeEC,1.1.99.29,SKiD,real_evidence
EnzymeEC:1.1.99.31,EnzymeEC,1.1.99.31,SKiD,real_evidence
EnzymeEC:1.1.99.38,EnzymeEC,1.1.99.38,SKiD,real_evidence
EnzymeEC:1.10.3.2,EnzymeEC,1.10.3.2,SKiD,real_evidence
EnzymeEC:1.11.1.1,EnzymeEC,1.11.1.1,SKiD,real_evidence
EnzymeEC:1.11.1.10,EnzymeEC,1.11.1.10,SKiD,real_evidence
EnzymeEC:1.11.1.12,EnzymeEC,1.11.1.12,SKiD,real_evidence
EnzymeEC:1.11.1.16,EnzymeEC,1.11.1.16,SKiD,real_evidence
EnzymeEC:1.11.1.19,EnzymeEC,1.11.1.19,SKiD,real_evidence
EnzymeEC:1.11.1.21,EnzymeEC,1.11.1.21,SKiD,real_evidence
EnzymeEC:1.11.1.28,EnzymeEC,1.11.1.28,SKiD,real_evidence
EnzymeEC:1.11.1.7,EnzymeEC,1.11.1.7,SKiD,real_evidence
EnzymeEC:1.11.2.1,EnzymeEC,1.11.2.1,SKiD,real_evidence
EnzymeEC:1.12.98.2,EnzymeEC,1.12.98.2,SKiD,real_evidence
EnzymeEC:1.13.11.1,EnzymeEC,1.13.11.1,SKiD,real_evidence
EnzymeEC:1.13.11.11,EnzymeEC,1.13.11.11,SKiD,real_evidence
EnzymeEC:1.13.11.20,EnzymeEC,1.13.11.20,SKiD,real_evidence
EnzymeEC:1.13.11.24,EnzymeEC,1.13.11.24,SKiD,real_evidence
