target_enzyme,target_family,stage,compound_a,compound_b,dose_relative,predicted_inhibition,weed_activity_remaining,crop_activity_remaining,selectivity_index,model,evidence_class
cellulase,CAZy,germination,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.0,0.0,1.0,1.0,1.0,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.03,0.005212200180032152,0.9947877998199679,0.9991962637211025,1.0044315620898572,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.1,0.030085723210751696,0.9699142767892484,0.9953606948340192,1.026235739233582,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.3,0.13456383165996477,0.8654361683400352,0.9792498696141982,1.131510220438863,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",1.0,0.4605804761379315,0.5394195238620685,0.9289771641077597,1.7221793483791337,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",3.0,0.7602568567428574,0.23974314325714263,0.8827662031505039,3.682133266283534,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",10.0,0.876500299041075,0.12349970095892504,0.864841129567005,7.0027791391547085,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.0,0.0,1.0,1.0,1.0,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.03,0.005212200180032152,0.9947877998199679,0.9991962637211025,1.0044315620898572,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.1,0.030085723210751696,0.9699142767892484,0.9953606948340192,1.026235739233582,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.3,0.13456383165996477,0.8654361683400352,0.9792498696141982,1.131510220438863,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",1.0,0.4605804761379315,0.5394195238620685,0.9289771641077597,1.7221793483791337,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",3.0,0.7602568567428574,0.23974314325714263,0.8827662031505039,3.682133266283534,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",10.0,0.876500299041075,0.12349970095892504,0.864841129567005,7.0027791391547085,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.0,0.0,1.0,1.0,1.0,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.03,0.005212200180032152,0.9947877998199679,0.9991962637211025,1.0044315620898572,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.1,0.030085723210751696,0.9699142767892484,0.9953606948340192,1.026235739233582,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.3,0.13456383165996477,0.8654361683400352,0.9792498696141982,1.131510220438863,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",1.0,0.4605804761379315,0.5394195238620685,0.9289771641077597,1.7221793483791337,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",3.0,0.7602568567428574,0.23974314325714263,0.8827662031505039,3.682133266283534,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",10.0,0.876500299041075,0.12349970095892504,0.864841129567005,7.0027791391547085,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.0,0.0,1.0,1.0,1.0,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.03,0.004770212378608447,0.9952297876213916,0.9992724428065772,1.0040620319402291,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.1,0.02754347100295605,0.9724565289970439,0.995799044388485,1.0240036594905848,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.3,0.12336210530696576,0.8766378946930342,0.9811846978733368,1.1192588226144513,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",1.0,0.42405436548003494,0.575945634519965,0.9353228369053557,1.6239776479683221,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",3.0,0.7027413927346174,0.29725860726538256,0.8928172343661577,3.0035033891182845,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",10.0,0.8114391476214357,0.18856085237856435,0.8762385524962562,4.646980226505739,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",0.0,0.0,1.0,1.0,1.0,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",0.03,0.012465935353437754,0.9875340646465622,0.9980777168666061,1.0106767478687608,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",0.1,0.050997672025994034,0.949002327974006,0.9921360121002962,1.0454516104490228,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",0.3,0.16535565515710554,0.8346443448428944,0.9745016817504875,1.1675651884203666,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",1.0,0.43522784391979663,0.5647721560802034,0.9328866130113769,1.6517928565849793,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",3.0,0.6855796408053658,0.3144203591946342,0.894281644918447,2.8442230878721944,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",10.0,0.8152533582967874,0.18474664170321264,0.8742855842209635,4.732348995146904,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",0.0,0.0,1.0,1.0,1.0,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",0.03,0.012465935353437754,0.9875340646465622,0.9980777168666061,1.0106767478687608,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
