enzyme_name,enzyme_family,stage_assigned,scenario_selectivity_margin,weed_vulnerability_score,crop_vulnerability_score,selectivity_evidence_class
cellulase,CAZy,germination,0.84579712,0.62579712,0.28,contextual_model_inference_requires_crop_weed_assay_validation
acetolactate synthase,ALS/AHAS,seedling_emergence,0.84579712,0.62579712,0.28,contextual_model_inference_requires_crop_weed_assay_validation
EPSP synthase,EPSPS,early_vegetative,0.84579712,0.62579712,0.28,contextual_model_inference_requires_crop_weed_assay_validation
acetyl-CoA carboxylase,ACCase,vegetative_expansion,0.5857971200000001,0.46579712,0.38,contextual_model_inference_requires_crop_weed_assay_validation
protoporphyrinogen oxidase,PPO,vegetative_expansion,0.5857971200000001,0.46579712,0.38,contextual_model_inference_requires_crop_weed_assay_validation
photosystem II,PSII,early_vegetative,0.6597472981372098,0.6197472981372099,0.4600000000000001,contextual_model_inference_requires_crop_weed_assay_validation
cytochrome P450,Cytochrome P450,specialized_metabolism,0.4351051464716516,0.3651051464716516,0.43,contextual_model_inference_requires_crop_weed_assay_validation
caffeoylshikimate esterase,BAHD acyltransferase,early_vegetative,0.84579712,0.62579712,0.28,contextual_model_inference_requires_crop_weed_assay_validation
hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyl transferase 1,BAHD acyltransferase,early_vegetative,0.84579712,0.62579712,0.28,contextual_model_inference_requires_crop_weed_assay_validation
hydroxycinnamate-CoA shikimate transferase,BAHD acyltransferase,early_vegetative,0.84579712,0.62579712,0.28,contextual_model_inference_requires_crop_weed_assay_validation
caffeoyl shikimate esterase,BAHD acyltransferase,early_vegetative,0.84579712,0.62579712,0.28,contextual_model_inference_requires_crop_weed_assay_validation
Tryptophan Aminotransferase of Arabidopsis 1,Aminotransferase,unassigned_stage,0.58510592,0.46510592,0.38,contextual_model_inference_requires_crop_weed_assay_validation
TRYPTOPHAN AMINOTRANSFERASE OF ARABIDOPSIS1,Aminotransferase,unassigned_stage,0.58510592,0.46510592,0.38,contextual_model_inference_requires_crop_weed_assay_validation
glutamine(amide):a-ketoglutarate aminotransferase (oxidoreductase ferredoxin),Aminotransferase,unassigned_stage,0.58510592,0.46510592,0.38,contextual_model_inference_requires_crop_weed_assay_validation
Tryptophan Aminotransferase of Arabidopsis 1;TRYPTOPHAN AMINOTRANSFERASE OF ARABIDOPSIS 1,Aminotransferase,unassigned_stage,0.58510592,0.46510592,0.38,contextual_model_inference_requires_crop_weed_assay_validation
Arabidopsis TRYPTOPHAN AMINOTRANSFERASE OF ARABIDOPSIS 1,Aminotransferase,unassigned_stage,0.58510592,0.46510592,0.38,contextual_model_inference_requires_crop_weed_assay_validation
TRYPTOPHAN AMINOTRANSFERASE RELATED1,Aminotransferase,unassigned_stage,0.58510592,0.46510592,0.38,contextual_model_inference_requires_crop_weed_assay_validation
Capsicum annuum alanine aminotransferase 1,Aminotransferase,unassigned_stage,0.58510592,0.46510592,0.38,contextual_model_inference_requires_crop_weed_assay_validation
TRYPTOPHAN AMINOTRANSFERASE OF ARABIDOPSIS 1 homolog,Aminotransferase,unassigned_stage,0.58510592,0.46510592,0.38,contextual_model_inference_requires_crop_weed_assay_validation
Arabidopsis aminotransferase,Aminotransferase,unassigned_stage,0.58510592,0.46510592,0.38,contextual_model_inference_requires_crop_weed_assay_validation
Prephenate Aminotransferase from Arabidopsis thaliana,Aminotransferase,unassigned_stage,0.58510592,0.46510592,0.38,contextual_model_inference_requires_crop_weed_assay_validation
Arabidopsis branched-chain aminotransferase 3,Aminotransferase,unassigned_stage,0.58510592,0.46510592,0.38,contextual_model_inference_requires_crop_weed_assay_validation
Capsicum annuum PARENTAL ADVICE-1,Aminotransferase,unassigned_stage,0.58510592,0.46510592,0.38,contextual_model_inference_requires_crop_weed_assay_validation
TRYPTOPHAN AMINOTRANSFERASE OF ARABIDOPSIS1; Tryptophan Aminotransferase of Arabidopsis 1,Aminotransferase,unassigned_stage,0.58510592,0.46510592,0.38,contextual_model_inference_requires_crop_weed_assay_validation
Medicago truncatula hydroxycinnamoyl transferase,BAHD acyltransferase,specialized_metabolism,0.5851051464716517,0.46510514647165163,0.38,contextual_model_inference_requires_crop_weed_assay_validation
Arabidopsis thaliana hydroxycinnamoyl transferase,BAHD acyltransferase,specialized_metabolism,0.5851051464716517,0.46510514647165163,0.38,contextual_model_inference_requires_crop_weed_assay_validation
10-O-deacetylbaccatin III 10-O-acetyltransferase,BAHD acyltransferase,specialized_metabolism,0.5851051464716517,0.46510514647165163,0.38,contextual_model_inference_requires_crop_weed_assay_validation
Arabidopsis thaliana acyltransferase,BAHD acyltransferase,specialized_metabolism,0.5851051464716517,0.46510514647165163,0.38,contextual_model_inference_requires_crop_weed_assay_validation
Arabidopsis thaliana Spermidine Hydroxycinnamoyl Transferase,BAHD acyltransferase,specialized_metabolism,0.5851051464716517,0.46510514647165163,0.38,contextual_model_inference_requires_crop_weed_assay_validation
Arabidopsis thaliana Spermidine Dicoumaroyl Transferase,BAHD acyltransferase,specialized_metabolism,0.5851051464716517,0.46510514647165163,0.38,contextual_model_inference_requires_crop_weed_assay_validation
Capsicum annuum hydroxycinnamoyl-CoA: serotonin N-(hydroxycinnamoyl)transferase,BAHD acyltransferase,specialized_metabolism,0.5851051464716517,0.46510514647165163,0.38,contextual_model_inference_requires_crop_weed_assay_validation
peroxidase,Peroxidase,stress_response,0.43510592,0.36510592,0.43,contextual_model_inference_requires_crop_weed_assay_validation
phosphoenolpyruvate carboxylase,PEPC,vegetative_expansion,0.40579711999999996,0.46579712,0.56,contextual_model_inference_requires_crop_weed_assay_validation
GH13_11,GH,germination,0.8474790773078614,0.6274790773078615,0.28,contextual_model_inference_requires_crop_weed_assay_validation
ribulose bisphosphate carboxylase oxygenase,RuBisCO,vegetative_expansion,0.40011146654651675,0.4601114665465168,0.56,contextual_model_inference_requires_crop_weed_assay_validation
GH43_13,GH,germination,0.8462145794337337,0.6262145794337337,0.28,contextual_model_inference_requires_crop_weed_assay_validation
Drought-Induced Branched-Chain Amino Acid Aminotransferase,Aminotransferase,germination,0.84579712,0.62579712,0.28,contextual_model_inference_requires_crop_weed_assay_validation
