curated_family,family,source_resource,source_sheet,enzyme_full_name,enzyme_common_name,species,substrate,product,text
Aminotransferase,3650|Cucurbitaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Ala glyoxylate aminotransferase,At2,Cucumis melo,Ala; glyoxylate,pyruvate; Gly,Ala glyoxylate aminotransferase At2   Cucumis melo   Ala; glyoxylate pyruvate; Gly Plant eR genes that encode photorespiratory enzymes confer resistance against disease. 10.1105/tpc.016352  AF461048; AY354209; AY354207  pass 33090|Viridiplantae AF461048|NA|AY354209|NA|AY354207|NA|AT2|NA B1A9J8_CUCME B1A9J8 NP_001284403.1|NP_001284403 NM_001297474.1|NM_001297474 Cucumis_melo
Aminotransferase,3803|Fabaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,mitochondrial alanine aminotransferase,m-AlaAT,Medicago truncatula,L-glutamate;pyruvate;alanine;2-oxoglutarate,L-alanine;2-oxoglutarate;glutamate;pyruvate,mitochondrial alanine aminotransferase m-AlaAT   Medicago truncatula   L-glutamate;pyruvate;alanine;2-oxoglutarate L-alanine;2-oxoglutarate;glutamate;pyruvate Characterization of alanine aminotransferase (AlaAT) multigene family and hypoxic response in young seedlings of the model legume Medicago truncatula. 10.1093/jxb/erl069   EC 2.6.1.2 pass 33090|Viridiplantae EC2.6.1.2|NA|EC2|NA|M-ALAAT|NA
Aminotransferase,3803|Fabaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Aminotransferase,PS-AT,Pisum sativum,"D,L-tyrosine; a-ketoglutarate",indolepyruvate; glutamate,"Aminotransferase PS-AT   Pisum sativum   D,L-tyrosine; a-ketoglutarate indolepyruvate; glutamate Properties of an Aminotransferase of Pea (Pisum sativum L.). 10.1104/pp.52.1.63    pass 33090|Viridiplantae PS-AT|NA"
Aminotransferase,3700|Brassicaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,glutamate:glyoxylate aminotransferase 2,GGT2,Arabidopsis thaliana,alanine; glyoxylate,pyruvate; glycine,glutamate:glyoxylate aminotransferase 2 GGT2   Arabidopsis thaliana   alanine; glyoxylate pyruvate; glycine Alanine aminotransferase homologs catalyze the glutamate:glyoxylate aminotransferase reaction in peroxisomes of Arabidopsis. 10.1104/pp.011460  At1g70580  pass 33090|Viridiplantae AT1G70580|NA|GGT2|PF01019;G_glu_transpept;1|GGT2|IPR043138;GGT_lsub_C;IPR000101;GGT_peptidase;IPR043137;GGT_ssub;IPR029055;Ntn_hydrolases_N|GGT2|PF00155;Aminotran_1_2;1|GGT2|IPR045088;ALAT1/2-like;IPR004839;Aminotransferase_I/II;IPR015424;PyrdxlP-dep_Trfase;IPR015421;PyrdxlP-dep_Trfase_major;IPR015422;PyrdxlP-dep_Trfase_small GGT2_ARATH|GAGT2_ARATH|R1FAD7_EMIHU|A0A9Q0G2S3_9ROSI|A7X2L3_POPCN Q9S7E9|B9DH91|Q8LFE9|Q680I5|O65653|R1FAD7|A0A9Q0G2S3|A7X2L3 NP_001031262.1|NP_001031262|NP_001031263.1|NP_001031263|NP_177215.1|NP_177215|NP_974122.1|NP_974122|NP_195675.2|NP_195675|XP_005782658.1|XP_005782658| NM_001036185.1|NM_001036185|NM_001036186.2|NM_001036186|NM_105726.3|NM_105726|NM_202393.2|NM_202393|NM_120125.2|NM_120125|XM_005782601.1|XM_005782601| Arabidopsis_thaliana|Emiliania_huxleyi|Turnera_subulata|Populus_canescens
Aminotransferase,4479|Poaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Aspartate transaminase,AspAT,Panicum miliaceum,Aspartate,Oxalacetate,Aspartate transaminase AspAT   Panicum miliaceum   Aspartate Oxalacetate Metabolic Activities in Extracts of Mesophyll and Bundle Sheath Cells of Panicum miliaceum (L.) in Relation to the C(4) Dicarboxylic Acid Pathway of Photosynthesis. 10.1104/pp.50.6.728    pass 33090|Viridiplantae ASPAT|NA
Aminotransferase,3051|Chlamydomonadaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Glutamate-1-semialdehyde aminotransferase,GSA,Chlamydomonas reinhardtii,Glutamate-1-semialdehyde,5-Aminolevulinic acid,Glutamate-1-semialdehyde aminotransferase GSA   Chlamydomonas reinhardtii   Glutamate-1-semialdehyde 5-Aminolevulinic acid Glutamate 1-semialdehyde aminotransferase is connected to GluTR by GluTR-binding protein and contributes to the rate-limiting step of 5-aminolevulinic acid synthesis. 10.1093/plcell/koac237    pass 33090|Viridiplantae GSA|PF00202;Aminotran_3;1|GSA|IPR004639;4pyrrol_synth_GluAld_NH2Trfase;IPR005814;Aminotrans_3;IPR049704;Aminotrans_3_PPA_site;IPR015424;PyrdxlP-dep_Trfase;IPR015421;PyrdxlP-dep_Trfase_major;IPR015422;PyrdxlP-dep_Trfase_small GSA_BRANA|GSA_CHLRE|GSA_HORVU|GSA_ORYSJ|GSA_SOYBN|GSA_TOBAC|A0A251U0X1_HELAN|A0A251VE03_HELAN|G4W9I5_MEDTR|A0A3L6EAQ0_MAIZE|A0A812LE88_SYMPI|A0A2I0AI93_9ASPA|A0A812NL07_9DINO|W6JNU0_DIACA|G4W9I6_MEDSA|A0A4P9D1N1_CINCA|A0A2I0WNG0_9ASPA|D7G5Q0_ECTSI Q85WB7|Q39566|Q39567|P18492|Q6YZE2|Q0J464|P45621|P31593|A0A251U0X1|A0A251VE03|G4W9I5|A0A3L6EAQ0|A0A812LE88|A0A2I0AI93|A0A812NL07|W6JNU0|G4W9I6|A0A4P9D1N1|A0A2I0WNG0|D7G5Q0 |XP_001697519.1|XP_001697519|XP_015650872.1|XP_015650872|NP_001238043.1|NP_001238043|NP_001311974.1|NP_001311974|XP_003604059.1|XP_003604059 |XM_001697467.1|XM_001697467|XM_015795386.1|XM_015795386|NM_001251114.1|NM_001251114|NM_001325045.1|NM_001325045|XM_003604011.2|XM_003604011 Brassica_napus|Chlamydomonas_reinhardtii|Hordeum_vulgare|Oryza_sativa_subsp._japonica|Glycine_max|Nicotiana_tabacum|Helianthus_annuus|Medicago_truncatula|Zea_mays|Symbiodinium_pilosum|Apostasia_shenzhenica|Symbiodinium_sp._CCMP2592|Dianthus_caryophyllus|Medicago_sativa|Cinnamomum_camphora|Dendrobium_catenatum|Ectocarpus_siliculosus
Aminotransferase,3650|Cucurbitaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Branched chain amino acid aminotransferase,CmBCAT1,Cucumis melo,branched chain amino acids,aroma volatiles,Branched chain amino acid aminotransferase CmBCAT1   Cucumis melo   branched chain amino acids aroma volatiles Catabolism of L-methionine in the formation of sulfur and other volatiles in melon (Cucumis melo L.) fruit. 10.1111/tpj.12149    pass 33090|Viridiplantae CMBCAT1|NA
Aminotransferase,3542|Aizoaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Aspartate aminotransferase,AspAT,Mesembryanthemum crystallinum,alpha-ketoglutarate,glutamate,Aspartate aminotransferase AspAT   Mesembryanthemum crystallinum   alpha-ketoglutarate glutamate Activity of enzymes of carbon metabolism during the induction of Crassulacean acid metabolism in Mesembryanthemum crystallinum L. 10.1007/BF00402925    pass 33090|Viridiplantae ASPAT|NA
Aminotransferase,1804623|Chenopodiaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,glutamate:glyoxylate aminotransferase,GGA,Spinacia oleracea,glyoxylate; DL-asparagine,glycine; oxaloacetate,glutamate:glyoxylate aminotransferase GGA   Spinacia oleracea   glyoxylate; DL-asparagine glycine; oxaloacetate Glycolate and glyoxylate metabolism by isolated peroxisomes or chloroplasts. 10.1104/pp.44.2.242    pass 33090|Viridiplantae GGA|NA
Aminotransferase,3977|Euphorbiaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,glutamate oxaloacetate aminotransferase,GOT,Ricinus communis,glutamate; oxaloacetate,alpha-ketoglutarate; aspartate,glutamate oxaloacetate aminotransferase GOT   Ricinus communis   glutamate; oxaloacetate alpha-ketoglutarate; aspartate Oxidation of NADH in Glyoxysomes by a Malate-Aspartate Shuttle. 10.1104/pp.66.4.555    pass 33090|Viridiplantae GOT|PF01040;UbiA;1|GOT|IPR000537;UbiA_prenyltransferase;IPR044878;UbiA_sf GOT_CANSA A0A455ZJC3   Cannabis_sativa
Aminotransferase,3700|Brassicaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,BRANCHED-CHAIN AMINOTRANSFERASE4,BCAT4,Arabidopsis thaliana,5-methylthio-2-oxopentanoate,,BRANCHED-CHAIN AMINOTRANSFERASE4 BCAT4   Arabidopsis thaliana   5-methylthio-2-oxopentanoate  Branched-chain aminotransferase4 is part of the chain elongation pathway in the biosynthesis of methionine-derived glucosinolates in Arabidopsis. 10.1105/tpc.105.039339  At3g19710  pass 33090|Viridiplantae AT3G19710|NA|BCAT4|PF01063;Aminotran_4;1|BCAT4|IPR001544;Aminotrans_IV;IPR036038;Aminotransferase-like;IPR005786;B_amino_transII;IPR043132;BCAT-like_C;IPR043131;BCAT-like_N;IPR033939;BCAT_family|BCAT4|PF01063;Aminotran_4;1;PF19798;Sulfotransfer_5;1 BCAT4_ARATH|A0A0B5GLF6_BRAOA|D7LA26_ARALL|D8LIS9_ECTSI Q9LE06|Q0WW34|A0A0B5GLF6|D7LA26|D8LIS9 NP_188605.1|NP_188605||XP_002885325.1|XP_002885325 NM_112861.4|NM_112861||XM_002885279.1|XM_002885279 Arabidopsis_thaliana|Brassica_oleracea_var._alboglabra|Arabidopsis_lyrata_subsp._lyrata|Ectocarpus_siliculosus
